Order_ID,Order_Date,Product_Category,Vendor,Carrier,Price,Return_Flag
1,2023-01-01,Beauty,Vendor B,Carrier Y,4120,No
2,2023-01-02,Sports,Vendor D,Carrier Z,4660,No
3,2023-01-03,Home,Vendor D,Carrier X,681,No
4,2023-01-04,Sports,Vendor A,Carrier Z,353,Yes
5,2023-01-05,Sports,Vendor B,Carrier Y,1724,No
6,2023-01-06,Clothing,Vendor A,Carrier X,2320,No
7,2023-01-07,Home,Vendor C,Carrier X,2543,No
8,2023-01-08,Home,Vendor C,Carrier Y,1440,Yes
9,2023-01-09,Home,Vendor A,Carrier Y,260,Yes
10,2023-01-10,Sports,Vendor D,Carrier Y,1138,No
11,2023-01-11,Beauty,Vendor D,Carrier Z,1839,No
12,2023-01-12,Home,Vendor A,Carrier Z,4320,No
13,2023-01-13,Sports,Vendor A,Carrier X,4426,No
14,2023-01-14,Clothing,Vendor C,Carrier Y,3769,No
15,2023-01-15,Beauty,Vendor D,Carrier X,1452,Yes
16,2023-01-16,Clothing,Vendor A,Carrier X,4403,No
17,2023-01-17,Beauty,Vendor C,Carrier X,371,No
18,2023-01-18,Sports,Vendor D,Carrier X,1658,No
19,2023-01-19,Electronics,Vendor B,Carrier Y,3749,No
20,2023-01-20,Beauty,Vendor C,Carrier X,4397,No
21,2023-01-21,Clothing,Vendor D,Carrier Y,2522,No
22,2023-01-22,Sports,Vendor D,Carrier Y,1836,No
23,2023-01-23,Beauty,Vendor C,Carrier Z,3315,No
24,2023-01-24,Electronics,Vendor B,Carrier Y,4290,No
25,2023-01-25,Electronics,Vendor C,Carrier Z,3204,No
26,2023-01-26,Home,Vendor D,Carrier Y,529,No
27,2023-01-27,Home,Vendor A,Carrier Y,3840,No
28,2023-01-28,Clothing,Vendor A,Carrier Y,4094,No
29,2023-01-29,Beauty,Vendor C,Carrier Z,4307,No
30,2023-01-30,Beauty,Vendor D,Carrier Z,1541,No
31,2023-01-31,Home,Vendor A,Carrier X,3863,Yes
32,2023-02-01,Beauty,Vendor D,Carrier Z,415,No
33,2023-02-02,Beauty,Vendor C,Carrier Z,538,Yes
34,2023-02-03,Electronics,Vendor A,Carrier Z,4262,Yes
35,2023-02-04,Home,Vendor D,Carrier Z,2908,Yes
36,2023-02-05,Sports,Vendor A,Carrier X,3352,No
37,2023-02-06,Home,Vendor C,Carrier Z,1950,Yes
38,2023-02-07,Sports,Vendor D,Carrier Y,2621,Yes
