Order_ID,Order_Date,Product_Category,Vendor,Carrier,Price,Return_Flag,Return_Reason,Return_Date,Return_Cost,Resolution_Time_Days
4,2023-01-04,Sports,Vendor A,Carrier Z,353,Yes,No Longer Needed,2023-01-08,128.0,5
8,2023-01-08,Home,Vendor C,Carrier Y,1440,Yes,Late Delivery,2023-01-22,1067.0,8
9,2023-01-09,Home,Vendor A,Carrier Y,260,Yes,Damaged,2023-01-16,129.0,1
15,2023-01-15,Beauty,Vendor D,Carrier X,1452,Yes,No Longer Needed,2023-01-16,1037.0,5
31,2023-01-31,Home,Vendor A,Carrier X,3863,Yes,Damaged,2023-02-07,2680.0,3
33,2023-02-02,Beauty,Vendor C,Carrier Z,538,Yes,Late Delivery,2023-02-03,329.0,4
34,2023-02-03,Electronics,Vendor A,Carrier Z,4262,Yes,No Longer Needed,2023-02-05,2332.0,2
35,2023-02-04,Home,Vendor D,Carrier Z,2908,Yes,Wrong Item,2023-02-08,2297.0,9
37,2023-02-06,Home,Vendor C,Carrier Z,1950,Yes,Wrong Item,2023-02-07,726.0,3
38,2023-02-07,Sports,Vendor D,Carrier Y,2621,Yes,No Longer Needed,2023-02-18,1737.0,2
39,2023-02-08,Electronics,Vendor A,Carrier Y,909,Yes,No Longer Needed,2023-02-20,360.0,9
40,2023-02-09,Clothing,Vendor C,Carrier Z,3926,Yes,Damaged,2023-02-20,1842.0,7
46,2023-02-15,Electronics,Vendor B,Carrier Y,600,Yes,No Longer Needed,2023-02-26,273.0,6
54,2023-02-23,Sports,Vendor C,Carrier Z,4432,Yes,Damaged,2023-03-04,3428.0,1
55,2023-02-24,Home,Vendor B,Carrier X,3130,Yes,Late Delivery,2023-03-08,2453.0,5
56,2023-02-25,Electronics,Vendor C,Carrier X,1721,Yes,Damaged,2023-03-03,674.0,3
59,2023-02-28,Beauty,Vendor B,Carrier Y,3494,Yes,No Longer Needed,2023-03-13,1087.0,1
60,2023-03-01,Clothing,Vendor B,Carrier Z,2619,Yes,No Longer Needed,2023-03-02,1729.0,4
62,2023-03-03,Beauty,Vendor A,Carrier X,3242,Yes,Late Delivery,2023-03-04,1650.0,2
63,2023-03-04,Sports,Vendor A,Carrier Z,4697,Yes,No Longer Needed,2023-03-10,1618.0,2
69,2023-03-10,Beauty,Vendor B,Carrier Y,2867,Yes,No Longer Needed,2023-03-14,1840.0,3
70,2023-03-11,Beauty,Vendor A,Carrier Z,330,Yes,Wrong Item,2023-03-15,189.0,8
74,2023-03-15,Clothing,Vendor B,Carrier Z,238,Yes,Wrong Item,2023-03-26,188.0,8
83,2023-03-24,Sports,Vendor A,Carrier X,510,Yes,Late Delivery,2023-03-30,211.0,7
89,2023-03-30,Beauty,Vendor A,Carrier X,2004,Yes,Damaged,2023-04-13,1006.0,6
91,2023-04-01,Home,Vendor D,Carrier Z,4010,Yes,Wrong Item,2023-04-13,2291.0,9
112,2023-04-22,Home,Vendor B,Carrier Z,3700,Yes,Damaged,2023-05-03,2575.0,4
114,2023-04-24,Home,Vendor D,Carrier X,575,Yes,No Longer Needed,2023-05-01,330.0,1
123,2023-05-03,Sports,Vendor A,Carrier Y,2434,Yes,Wrong Item,2023-05-12,1476.0,8
124,2023-05-04,Home,Vendor D,Carrier Y,2241,Yes,Late Delivery,2023-05-14,926.0,7
126,2023-05-06,Beauty,Vendor A,Carrier X,2308,Yes,Late Delivery,2023-05-11,1670.0,7
136,2023-05-16,Home,Vendor B,Carrier X,1589,Yes,Late Delivery,2023-05-25,817.0,3
140,2023-05-20,Sports,Vendor A,Carrier X,2465,Yes,Wrong Item,2023-05-24,913.0,4
142,2023-05-22,Sports,Vendor C,Carrier X,3000,Yes,Damaged,2023-06-04,1896.0,9
143,2023-05-23,Beauty,Vendor A,Carrier X,2753,Yes,No Longer Needed,2023-06-02,1123.0,6
150,2023-05-30,Beauty,Vendor D,Carrier Z,2113,Yes,Damaged,2023-06-01,737.0,5
156,2023-06-05,Electronics,Vendor C,Carrier Z,2309,Yes,Damaged,2023-06-08,1688.0,3
159,2023-06-08,Electronics,Vendor B,Carrier Z,4269,Yes,No Longer Needed,2023-06-21,2263.0,9
162,2023-06-11,Electronics,Vendor A,Carrier Y,3360,Yes,No Longer Needed,2023-06-22,2267.0,5
165,2023-06-14,Home,Vendor B,Carrier X,2133,Yes,Wrong Item,2023-06-15,950.0,5
169,2023-06-18,Electronics,Vendor A,Carrier X,1840,Yes,Wrong Item,2023-07-02,1276.0,4
170,2023-06-19,Beauty,Vendor C,Carrier X,2882,Yes,Wrong Item,2023-07-03,1026.0,4
176,2023-06-25,Clothing,Vendor B,Carrier Y,4335,Yes,Wrong Item,2023-07-01,2072.0,1
188,2023-07-07,Electronics,Vendor D,Carrier Z,1911,Yes,Wrong Item,2023-07-20,1508.0,7
190,2023-07-09,Home,Vendor D,Carrier X,995,Yes,No Longer Needed,2023-07-15,694.0,9
191,2023-07-10,Clothing,Vendor D,Carrier X,4236,Yes,Damaged,2023-07-11,2324.0,3
195,2023-07-14,Beauty,Vendor D,Carrier Z,517,Yes,Wrong Item,2023-07-25,243.0,2
197,2023-07-16,Home,Vendor B,Carrier Z,2362,Yes,Wrong Item,2023-07-29,1739.0,3
198,2023-07-17,Electronics,Vendor C,Carrier Z,2945,Yes,Damaged,2023-07-20,1686.0,1
202,2023-07-21,Home,Vendor A,Carrier X,2196,Yes,Wrong Item,2023-07-26,1492.0,6
203,2023-07-22,Electronics,Vendor D,Carrier Z,1512,Yes,Damaged,2023-07-25,1024.0,7
210,2023-07-29,Beauty,Vendor C,Carrier Y,562,Yes,Damaged,2023-08-08,174.0,2
227,2023-08-15,Clothing,Vendor C,Carrier Y,2329,Yes,No Longer Needed,2023-08-18,846.0,8
232,2023-08-20,Electronics,Vendor B,Carrier Y,1747,Yes,Late Delivery,2023-09-03,1100.0,6
234,2023-08-22,Beauty,Vendor C,Carrier Y,2185,Yes,No Longer Needed,2023-09-01,832.0,4
